"dht11_umidade";"dht11_temperatura";"luminosidade";"lm35_temperatura";"chave"
56.0;26.5;837.0;28.79;0
56.0;26.5;835.0;19.03;0
56.0;26.5;850.0;19.52;0
56.0;26.5;826.0;26.35;0
56.0;26.5;842.0;26.84;0
56.0;26.5;851.0;19.03;0
56.0;26.5;840.0;27.33;0
56.0;26.5;826.0;19.03;0
56.0;26.5;829.0;19.03;0
56.0;26.5;840.0;25.86;0
56.0;26.5;848.0;27.82;0
56.0;26.5;851.0;19.03;0
56.0;26.5;847.0;19.03;0
56.0;26.5;836.0;28.3;0
56.0;26.5;825.0;19.03;0
56.0;26.5;833.0;28.3;0
56.0;26.5;846.0;27.33;0
56.0;26.5;852.0;20.5;0
56.0;26.5;838.0;20.01;0
56.0;26.5;826.0;27.33;0
56.0;26.5;844.0;26.84;0
56.0;26.5;851.0;28.79;0
56.0;26.5;833.0;27.82;0
56.0;26.5;831.0;19.03;0
56.0;26.5;849.0;18.54;0
56.0;26.5;844.0;27.82;0
56.0;26.5;826.0;26.84;0
56.0;26.5;846.0;26.84;0
56.0;26.5;848.0;27.82;0
56.0;26.5;826.0;18.54;0
56.0;26.5;839.0;19.03;0
56.0;26.5;852.0;27.82;0
56.0;26.5;836.0;28.3;0
56.0;26.5;828.0;18.54;0
56.0;26.5;846.0;26.84;0
56.0;26.5;850.0;19.03;0
56.0;26.5;832.0;19.03;0
56.0;26.5;829.0;27.82;0
56.0;26.5;845.0;26.84;0
56.0;26.5;790.0;20.01;0
56.0;26.5;735.0;19.03;0
56.0;26.5;818.0;26.84;0
56.0;26.5;840.0;19.52;0
56.0;26.5;851.0;28.79;0
56.0;26.5;845.0;27.82;0
56.0;26.5;529.0;20.98;0
56.0;26.5;828.0;19.03;0
56.0;26.5;843.0;25.86;0
56.0;26.5;844.0;25.86;0
56.0;26.5;839.0;27.33;0
56.0;26.5;822.0;27.33;0
56.0;26.5;829.0;18.54;0
56.0;26.5;844.0;19.03;0
56.0;26.5;848.0;26.35;0
56.0;26.4;836.0;27.82;0
56.0;26.4;823.0;25.86;0
56.0;26.4;835.0;27.33;0
56.0;26.4;848.0;19.03;0
56.0;26.4;845.0;18.54;0
56.0;26.4;825.0;25.86;0
56.0;26.4;823.0;18.54;0
56.0;26.4;831.0;27.33;0
56.0;26.4;835.0;27.82;0
56.0;26.4;819.0;18.54;0
56.0;26.4;816.0;24.89;0
56.0;26.4;836.0;19.03;0
56.0;26.4;848.0;19.03;0
56.0;26.4;840.0;25.86;0
56.0;26.4;820.0;27.33;0
56.0;26.4;819.0;25.38;0
56.0;26.4;826.0;26.84;0
56.0;26.4;820.0;18.54;0
56.0;26.4;796.0;30.74;0
56.0;26.4;803.0;18.54;0
56.0;26.4;835.0;19.52;0
56.0;26.4;819.0;25.86;0
56.0;26.4;824.0;26.84;0
56.0;26.4;840.0;26.35;0
56.0;26.4;826.0;27.33;0
56.0;26.4;788.0;19.03;0
56.0;26.4;800.0;19.03;0
56.0;26.4;810.0;26.84;0
